Time,Area,Industry,Direction,Trade value
201512,MK02 Southwest Finland,"R, S Other service activities (90-96)",Imports by countries of origin,146310850.17596543
201512,MK02 Southwest Finland,"R, S Other service activities (90-96)",Exports by countries of destination,198165701.18557605
201512,MK02 Southwest Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Imports by countries of origin,16738884.336470556
201512,MK02 Southwest Finland,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,22671406.444645487
201512,MK04 Satakunta,10-12 Food industry etc.,Imports by countries of origin,32623225.31167657
201512,MK04 Satakunta,10-12 Food industry etc.,Exports by countries of destination,90490934.83305149
201512,MK04 Satakunta,"13-15 Textile, clothing and leather industry",Imports by countries of origin,6930506.941440201
201512,MK04 Satakunta,"13-15 Textile, clothing and leather industry",Exports by countries of destination,19223974.515279036
201512,MK04 Satakunta,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,9553181.657293428
201512,MK04 Satakunta,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,26498800.487670586
201512,MK04 Satakunta,"17, 18 Paper industry; Printing",Imports by countries of origin,20755918.90510088
201512,MK04 Satakunta,"17, 18 Paper industry; Printing",Exports by countries of destination,57573170.25209423
201512,MK04 Satakunta,19-22 Chemical industry,Imports by countries of origin,20447368.93852991
201512,MK04 Satakunta,19-22 Chemical industry,Exports by countries of destination,56717308.37298934
201512,MK04 Satakunta,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,6610089.668462658
201512,MK04 Satakunta,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,18335194.87159319
201512,MK04 Satakunta,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,57307222.637353994
201512,MK04 Satakunta,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,158959885.16144255
201512,MK04 Satakunta,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,5470828.253431392
201512,MK04 Satakunta,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,15175089.471821291
201512,MK04 Satakunta,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,40776064.812994055
201512,MK04 Satakunta,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,113105439.1001691
201512,MK04 Satakunta,"29, 30 Manufacture of transport equipment",Imports by countries of origin,8140972.194910922
201512,MK04 Satakunta,"29, 30 Manufacture of transport equipment",Exports by countries of destination,22581586.502536677
201512,MK04 Satakunta,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,25407903.016478546
