Area,Time,Industry,Direction,Trade value
MK01 Uusimaa,201712,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),Exports by countries of destination,17077936.096718483
MK01 Uusimaa,201812,"A Agriculture, forestry and fishing (01-03)",Imports by countries of origin,125603568.96032323
MK01 Uusimaa,201812,"A Agriculture, forestry and fishing (01-03)",Exports by countries of destination,60531489.78398398
MK01 Uusimaa,201812,B Mining and quarrying (05-09),Imports by countries of origin,37853130.371604264
MK01 Uusimaa,201812,B Mining and quarrying (05-09),Exports by countries of destination,18242366.78421435
MK01 Uusimaa,201812,10-12 Food industry etc.,Imports by countries of origin,377892224.891587
MK01 Uusimaa,201812,10-12 Food industry etc.,Exports by countries of destination,182115679.83150095
MK01 Uusimaa,201812,"13-15 Textile, clothing and leather industry",Imports by countries of origin,35296815.07378164
MK01 Uusimaa,201812,"13-15 Textile, clothing and leather industry",Exports by countries of destination,17010414.741644032
MK01 Uusimaa,201812,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Imports by countries of origin,35247655.16420813
MK01 Uusimaa,201812,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Exports by countries of destination,16986723.356209986
MK01 Uusimaa,201812,"17, 18 Paper industry; Printing",Imports by countries of origin,222301111.0914214
MK01 Uusimaa,201812,"17, 18 Paper industry; Printing",Exports by countries of destination,107132444.93274973
MK01 Uusimaa,201812,19-22 Chemical industry,Imports by countries of origin,1123402253.5738966
MK01 Uusimaa,201812,19-22 Chemical industry,Exports by countries of destination,541395539.9387875
MK01 Uusimaa,201812,23 Manufacture of other non-metallic mineral products,Imports by countries of origin,135484710.78459916
MK01 Uusimaa,201812,23 Manufacture of other non-metallic mineral products,Exports by countries of destination,65293458.25622696
MK01 Uusimaa,201812,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Imports by countries of origin,249388221.26642653
MK01 Uusimaa,201812,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",Exports by countries of destination,120186398.30690832
MK01 Uusimaa,201812,"26, 27 Manufacture of electrical and electronic products",Imports by countries of origin,1613968991.2079735
MK01 Uusimaa,201812,"26, 27 Manufacture of electrical and electronic products",Exports by countries of destination,777811875.1851187
MK01 Uusimaa,201812,28 Manufacture of machinery and equipment n.e.c.,Imports by countries of origin,717734679.7732756
MK01 Uusimaa,201812,28 Manufacture of machinery and equipment n.e.c.,Exports by countries of destination,345894227.33705133
MK01 Uusimaa,201812,"29, 30 Manufacture of transport equipment",Imports by countries of origin,37656490.733310215
MK01 Uusimaa,201812,"29, 30 Manufacture of transport equipment",Exports by countries of destination,18147601.242478173
MK01 Uusimaa,201812,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Imports by countries of origin,232280572.73484436
MK01 Uusimaa,201812,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",Exports by countries of destination,111941796.1758608
MK01 Uusimaa,201812,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Imports by countries of origin,1192668566.1629753
MK01 Uusimaa,201812,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",Exports by countries of destination,574776702.0153563
MK01 Uusimaa,201812,F Construction (41-43),Imports by countries of origin,2671988565.0490994
MK01 Uusimaa,201812,F Construction (41-43),Exports by countries of destination,1287697872.4966269
MK01 Uusimaa,201812,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Imports by countries of origin,4312159788.059755
MK01 Uusimaa,201812,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),Exports by countries of destination,2078137256.1180916
MK01 Uusimaa,201812,H Transportation and storage (49-53),Imports by countries of origin,1987485984.147518
MK01 Uusimaa,201812,H Transportation and storage (49-53),Exports by countries of destination,957819021.7129897
MK01 Uusimaa,201812,I Accommodation and food service activities (55-56),Imports by countries of origin,739610839.5334885
MK01 Uusimaa,201812,I Accommodation and food service activities (55-56),Exports by countries of destination,356436893.85520124
MK01 Uusimaa,201812,J Information and communication (58-63),Imports by countries of origin,3760733082.3736706
MK01 Uusimaa,201812,J Information and communication (58-63),Exports by countries of destination,1812390985.704413
MK01 Uusimaa,201812,K Financial and insurance activities (64-66),Imports by countries of origin,2075875501.5606925
MK01 Uusimaa,201812,K Financial and insurance activities (64-66),Exports by countries of destination,1000416132.7234019
MK01 Uusimaa,201812,"681, 68209, 683 Other real estate activities",Imports by countries of origin,1108555960.8826964
MK01 Uusimaa,201812,"681, 68209, 683 Other real estate activities",Exports by countries of destination,534240741.537706
MK01 Uusimaa,201812,"68201, 68202 Letting and operation of dwellings",Imports by countries of origin,3684535222.5347266
MK01 Uusimaa,201812,"68201, 68202 Letting and operation of dwellings",Exports by countries of destination,1775669338.2816436
MK01 Uusimaa,201812,"M Professional, scientific and technical activities (69-75)",Imports by countries of origin,2778124809.8183117
MK01 Uusimaa,201812,"M Professional, scientific and technical activities (69-75)",Exports by countries of destination,1338847573.648729
MK01 Uusimaa,201812,N Administrative and support service activities (77-82),Imports by countries of origin,1861833255.277621
MK01 Uusimaa,201812,N Administrative and support service activities (77-82),Exports by countries of destination,897263840.5435716
MK01 Uusimaa,201812,O Public administration and defence; compulsory social security (84),Imports by countries of origin,2107731122.9643283
MK01 Uusimaa,201812,O Public administration and defence; compulsory social security (84),Exports by countries of destination,1015768150.4846628
