Business_ID,business_line_code
1790146-2,56101
1637373-3,62010
1842631-7,66120
1872262-6,46620
1618800-1,46692
1619662-6,82990
1624172-2,46739
1619751-4,38210
1624040-4,46450
1623933-1,46412
2279416-3,45201
2345224-5,82920
1622228-1,73119
1621911-1,71123
1621896-0,70220
1621876-8,43999
2481568-5,18200
1625298-2,56101
0672818-2,30120
1620551-0,46190
1620437-4,68202
1619764-5,46389
1478816-9,47594
1015210-4,68202
1593841-3,63110
1593813-0,56101
0107754-4,47641
0152415-6,68209
0152444-7,38110
0498728-7,70220
0617855-5,82300
0639163-9,52100
0742087-6,23130
0746690-3,00000
0860293-8,68209
1592398-3,46434
0966266-8,49410
1591382-2,64990
1591102-6,41200
1594126-8,74201
1595644-3,56101
1589528-1,73111
1856600-2,80200
2340107-7,96040
1573831-5,46901
1573478-7,93110
1572920-8,68209
2387841-4,46750
2389503-8,66120
2398753-0,46692
2401133-7,90020
1569303-0,74101
1568956-8,23410
1568398-3,62010
1568359-6,59200
1584028-0,78200
1584661-5,41200
1905475-4,66190
0993471-5,96030
1011675-2,73111
1005495-0,45402
1644355-1,70220
1644278-6,62020
1644249-5,65110
0875684-9,68320
0894673-0,41200
0915729-0,43220
1642854-6,70220
0928596-2,47764
0951422-7,93120
1641314-1,82200
0956671-3,33121
1640990-0,78200
1640383-2,41200
1640124-7,73120
