"INTERNATIONAL TRADE IN GOODS BY REGION, CC BY 4.0"

,,,"Cum. statistical value (euro) from the beginning of the year","Cum. change %","Share of total%","Share of enterprises in industrial sector %","Share of enterprises in trade sector %","Share of enterprises in other industries %","Share of private domestic enterprises %","Share of state or municipal enterprises %","Share of foreign-owned enterprises %","Number of places of enterprises","Number of enterprise places engaged in Extra-EU trade"
"202012","9 Etelä-Savo","Exports by countries of destination",398000000,6.4,0.7,92.2,1.7,6.1,55.3,0,44.7,268,153
"202012","10 Pohjois-Savo","Imports by countries of origin",564000000,-0.2,0.9,66.7,22.4,10.8,77.9,1.6,20.5,1078,407
"202012","10 Pohjois-Savo","Exports by countries of destination",1457000000,-7.7,2.5,97.5,1.2,1.3,79.1,0,20.9,432,246
"202012","11 Pohjois-Karjala","Imports by countries of origin",381000000,-2.1,0.6,49.4,41.7,8.9,73.6,1.0,25.4,720,269
"202012","11 Pohjois-Karjala","Exports by countries of destination",810000000,-12.1,1.4,96.1,1.6,2.3,62.2,0,37.8,350,221
"202012","12 Keski-Suomi","Imports by countries of origin",1009000000,-0.9,1.7,53.3,38.6,8.1,38.2,2.4,59.3,1237,496
"202012","12 Keski-Suomi","Exports by countries of destination",2475000000,-7.9,4.3,72.2,26.2,1.7,54.8,1.2,44.1,562,337
"202012","13 Etelä-Pohjanmaa","Imports by countries of origin",696000000,10.5,1.2,48.1,45.6,6.3,87.6,0.2,12.1,1443,468
"202012","13 Etelä-Pohjanmaa","Exports by countries of destination",636000000,-2.0,1.1,90.7,5.1,4.2,66.7,0,33.3,585,311
"202012","14 Pohjanmaa","Imports by countries of origin",1284000000,-3.8,2.1,62.3,19.4,18.3,56.1,0.5,43.4,1533,486
"202012","14 Pohjanmaa","Exports by countries of destination",3226000000,-9.1,5.6,94.2,3.9,1.9,65.3,0,34.7,739,401
"202012","15 Keski-Pohjanmaa","Imports by countries of origin",2029000000,12.6,3.4,17.4,81.9,0.7,6.3,0.1,93.6,464,155
"202012","15 Keski-Pohjanmaa","Exports by countries of destination",1893000000,10.4,3.3,41.1,58.4,0.5,6.3,0,93.7,220,114
"202012","16 Pohjois-Pohjanmaa","Imports by countries of origin",1857000000,-15.2,3.1,67.1,26.2,6.7,57.2,0.5,42.3,2390,779
"202012","16 Pohjois-Pohjanmaa","Exports by countries of destination",1621000000,-29.0,2.8,93.3,1.9,4.8,58.3,0,41.7,943,460
