"TRADE ACCORDING TO ENTERPRISE SIZE, CC BY 4.0"
"Companies in total"

,,,"Statistical value (euro) quarterly","Change %","Share of total statistical value %","Share of statistical value of product category %","Cum. statistical value (euro)","Cum. change %","Cum. share of total statistical value %","Cum. share of statistical value of product category %"
"202109","C 16-18 Forest industry products","Exports by countries of destination",3401739323,35.3,19.6,100.0,9516775204,23.9,19.5,100.0
"202109","C 19-22 Chemical industry products","Imports by countries of origin",3514782798,43.2,19.3,100.0,9651214803,22.9,18.7,100.0
"202109","C 19-22 Chemical industry products","Exports by countries of destination",3359911676,32.2,19.4,100.0,8754299490,12.9,18.0,100.0
"202109","C 24-25 Metals and metal products","Imports by countries of origin",1806765615,36.3,9.9,100.0,5103853370,25.6,9.9,100.0
"202109","C 24-25 Metals and metal products","Exports by countries of destination",2778707262,36.4,16.0,100.0,8280427327,25.2,17.0,100.0
"202109","C 26-27 Electrical and electronics products","Imports by countries of origin",2545656425,13.1,13.9,100.0,7306957926,13.0,14.2,100.0
"202109","C 26-27 Electrical and electronics products","Exports by countries of destination",1932771645,15.0,11.2,100.0,5584781890,12.2,11.5,100.0
"202109","C 28 Machinery and equipment","Imports by countries of origin",1529610448,3.6,8.4,100.0,4785193475,6.3,9.3,100.0
"202109","C 28 Machinery and equipment","Exports by countries of destination",2202584116,1.6,12.7,100.0,6576132352,4.5,13.5,100.0
"202109","C 29-30 Vehicles","Imports by countries of origin",1748737508,2.3,9.6,100.0,5659401329,23.0,11.0,100.0
"202109","C 29-30 Vehicles","Exports by countries of destination",1406977253,37.3,8.1,100.0,3680161508,37.1,7.5,100.0
"202109","D Electricity, gas, heat, cooling","Imports by countries of origin",491057950,175.7,2.7,100.0,1041923291,136.2,2.0,100.0
"202109","D Electricity, gas, heat, cooling","Exports by countries of destination",187918858,280.1,1.1,100.0,342497855,145.9,0.7,100.0
"202109","ZZ Other products","Imports by countries of origin",6715059296,24.2,36.8,100.0,17972679727,14.5,34.9,100.0
"202109","ZZ Other products","Exports by countries of destination",2246371614,23.8,13.0,100.0,6358459446,21.8,13.0,100.0
