Time,Area,Industry,Employment
201512,MK09 South Karelia,"24-25 Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.025402008619216678
201512,MK09 South Karelia,"26, 27 Manufacture of electrical and electronic products",0.0026199381087084464
201512,MK09 South Karelia,28 Manufacture of machinery and equipment n.e.c.,0.00991020067207108
201512,MK09 South Karelia,"29, 30 Manufacture of transport equipment",0.0006454919977977332
201512,MK09 South Karelia,"31-33 Manufacture of furniture, other manufacturing; repair and installation of machinery and equipment",0.02048487840069865
201512,MK09 South Karelia,"681, 68209, 683 Other real estate activities",0.008524291382681829
201512,MK09 South Karelia,"68201, 68202 Letting and operation of dwellings",0.0024870426973971483
201512,MK09 South Karelia,"A Agriculture, forestry and fishing (01-03)",0.050804017238433356
201512,MK09 South Karelia,B Mining and quarrying (05-09),0.0035122358703700185
201512,MK09 South Karelia,"D, E Electricity, gas, steam and air conditioning and water supply; sewerage and waste management (35-39)",0.009397604085584644
201512,MK09 South Karelia,F Construction (41-43),0.08241414007176352
201512,MK09 South Karelia,G Wholesale and retail trade; repair of motor vehicles and motorcycles (45-47),0.11563799289958802
201512,MK09 South Karelia,H Transportation and storage (49-53),0.061549560495889735
201512,MK09 South Karelia,I Accommodation and food service activities (55-56),0.0370968048146109
201512,MK09 South Karelia,J Information and communication (58-63),0.02040893816566362
201512,MK09 South Karelia,K Financial and insurance activities (64-66),0.010024111024623621
201512,MK09 South Karelia,"M Professional, scientific and technical activities (69-75)",0.041216562565261135
201512,MK09 South Karelia,N Administrative and support service activities (77-82),0.05672735557116549
201512,MK09 South Karelia,O Public administration and defence; compulsory social security (84),0.07318740151500769
201512,MK09 South Karelia,P Education (85),0.0679475252975908
201512,MK09 South Karelia,Q Human health and social work activities (86-88),0.15510793005904353
201512,MK09 South Karelia,"R, S Other service activities (90-96)",0.04358969491010574
201512,MK09 South Karelia,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use(97-98),0.0039488922218214265
201512,MK10 South Savo,10-12 Food industry etc.,0.012627874480307761
201512,MK10 South Savo,"13-15 Textile, clothing and leather industry",0.005089102420342609
